final_balance,return_pct,sharpe,max_drawdown,var95,cvar95,slippage,spread,fee,fill_delay
41258.538128704335,-58.74146187129566,-15.28269111797109,0.5874146187129566,-0.0317176637170238,-0.03172663059083669,0.0008462162237417726,2.1839185054099057e-05,0.0004920277839710322,0
39647.6366826251,-60.3523633173749,-15.468794046610023,0.603523633173749,-0.03437923938731548,-0.034390750102068546,0.0007950018068207577,0.00038271436475487917,0.0006130448152227019,0
54752.27532020002,-45.24772467979999,-9.519042452900315,0.45247724679799983,-0.0347080979525111,-0.0347354727430082,0.0010949542639145284,0.000509294100644545,0.0004227984711884397,3
59489.967616578906,-40.51003238342109,-14.571197538245952,0.40510032383421096,-0.019867166241029355,-0.019877490432991723,0.0004512080870375303,0.0006318211706297814,0.00035713938157250045,0
57149.93881199957,-42.85006118800043,-11.672712468084296,0.42850061188000427,-0.028665268791075095,-0.028684423734833958,0.0006929303649213566,0.0004141270486296535,0.000491001939997158,2
44196.33207648999,-55.80366792351001,-11.537769351489457,0.5580366792351001,-0.04117744622695341,-0.04121649108266334,0.001131909830612706,0.0007127849202751124,0.0006135524640783952,2
61624.047066647545,-38.37595293335245,-9.716696185238398,0.38375952933352453,-0.030130566952443115,-0.030175074133991064,0.0008128191424237738,0.0009666739701176963,0.0004567373296563182,3
36863.36859350163,-63.13663140649837,-15.471303360270689,0.6313663140649837,-0.0387994489888104,-0.03882413681486599,0.001506277448339163,0.0004460115105584807,0.0002863556673090035,1
55126.93838165701,-44.87306161834299,-12.149721492340344,0.4487306161834299,-0.03009978035481644,-0.03012024965141169,0.0008502348796708121,0.0008350381969332639,0.0004310893630157117,2
67036.79008130054,-32.96320991869946,-11.427217728545694,0.3296320991869946,-0.020092345929846676,-0.02009450583479308,0.0005311683333100775,0.000716227655358751,0.00031106830855366283,2
70186.13976055746,-29.813860239442537,-9.40222678103361,0.2981386023944254,-0.021992576181128154,-0.022006956018121637,0.0005997700566896065,0.0006544743885982615,0.00032907013354793496,3
54253.66100203049,-45.74633899796952,-9.442097191594037,0.45746338997969516,-0.03804097692361508,-0.038080365471946986,0.0010403857996139404,0.0002662827932853479,0.0005718971014205658,3
41442.004368447706,-58.557995631552295,-11.861392025228273,0.585579956315523,-0.04365128427586926,-0.043687591477142323,0.000978099001970999,0.00044067106420189056,0.000800422749824638,2
64214.51151331317,-35.78548848668683,-12.15837874469293,0.3578548848668683,-0.022273096164949036,-0.022313964891035015,0.0007302832085349894,0.0003403926888240686,0.0002540202478045992,2
27120.491284708947,-72.87950871529105,-15.335769360890133,0.7287950871529105,-0.04611618707487227,-0.04614179454928247,0.0013146779357049514,0.0004253409986128965,0.00065756170970382,0
57127.26676722442,-42.87273323277559,-13.409924134922372,0.4287273323277558,-0.02330390352843752,-0.023318651790089434,0.0003012466131037862,0.0005968434726903157,0.0005721125499338009,0
37257.96000233627,-62.742039997663724,-9.364721394646722,0.6274203999766372,-0.054170765795684694,-0.05424902816776933,0.0017148266595575254,0.0007513477115643262,0.0006567319882542336,3
57611.28535485953,-42.38871464514047,-15.694084243713396,0.4238871464514047,-0.020360781479362433,-0.020372176831891547,0.0005866439643331474,0.0007196076547969372,0.000282671613463908,1
70837.76444538402,-29.16223555461598,-8.965130536586807,0.29162235554615984,-0.022584453038894902,-0.02259276339362451,0.0004369057719967837,4.6278289987363407e-05,0.00046012196797270613,3
50298.66790053857,-49.70133209946144,-12.223030911116723,0.4970133209946143,-0.03501930145788953,-0.03507019634166117,0.0012510566207001724,0.00032003750255991514,0.000332804136835747,2
