metric,value
net_profit,-99623.48415741448
sharpe_ratio,-1.1103298964545525
sortino_ratio,-1.1735987633796017
drawdown,-0.9973457186603781
win_rate,0.3148148148148148
profit_factor,0.5320683208541165
recovery_factor,-99888.61664862557
trade_count,54.0
