metric,value
net_profit,1033271.1780754533
return_pct,1033.2711780754532
sharpe_ratio,-0.4598484528186442
sortino_ratio,-0.3388994324100832
drawdown,-6.4054512911805865
equity_stability,0.34456942487763953
win_rate,0.5714285714285714
profit_factor,1.0507855822917567
recovery_factor,161311.22244237867
trade_count,14.0
