entry_index,exit_index,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
1970-01-21 03:00:00+00:00,1970-01-21 03:35:00+00:00,-1,2664.157255,2190.664785,375.35321840451945,176360.21769668403,1.7636021769668404,take_profit
1970-01-21 03:40:00+00:00,1970-01-21 04:25:00+00:00,-1,2181.798555,1456.0576649999998,1266.6623921963503,915812.7400955397,3.3138370917795386,take_profit
1970-01-21 04:30:00+00:00,1970-01-21 04:45:00+00:00,-1,1650.87415,1796.6979,7221.464808763427,-1071733.4690829779,-0.8989748191132545,stop_loss
1970-01-21 04:50:00+00:00,1970-01-21 05:10:00+00:00,-1,1807.83563,2462.460615,666.2081812672639,-438250.20039010025,-3.6387583930058396,stop_loss
1970-01-21 05:15:00+00:00,1970-01-21 05:20:00+00:00,1,2671.2449549999997,2451.3037350000004,-1189.7475410706184,257103.62089411452,257103.62089411452,stop_loss
1970-01-21 05:25:00+00:00,1970-01-21 06:10:00+00:00,1,2546.25249,2443.91743,-238.41740371450734,23506.15179685283,23506.15179685283,signal_flip
1970-01-21 06:20:00+00:00,1970-01-21 06:40:00+00:00,-1,2423.02788,2954.286405,-153.53079218340284,80945.3547059397,80945.3547059397,stop_loss
1970-01-21 06:45:00+00:00,1970-01-21 06:50:00+00:00,1,3057.057765,3586.206,143.09319312470558,75004.55621377447,1.7146087103010632,take_profit
1970-01-21 06:55:00+00:00,1970-01-21 07:30:00+00:00,1,3719.969055,4426.9854000000005,319.22032192772383,223743.4801911711,1.8841719347548458,take_profit
1970-01-21 07:35:00+00:00,1970-01-21 08:35:00+00:00,1,4302.520184999999,4202.167865,796.0275312944249,-84960.68392392041,-0.2480658577956191,signal_flip
