entry_index,exit_index,direction,entry_price,exit_price,size,pnl,return_pct,exit_reason
11,15,-1,971.9308796542872,990.6036118057782,1028.8797495102706,-20726.404975682464,-0.20726404975682464,signal_flip
16,57,1,998.4354281465961,1110.4812593764877,793.9781861654665,87706.12046256108,1.1063724363157346,signal_flip
59,66,-1,1113.872222215628,1116.3716407864583,1499.09219528552,-6254.364748740869,-0.03745583546183693,signal_flip
67,73,1,1106.6492809226377,1061.884238502999,1452.3603232646344,-67377.09051200376,-0.4192063678976075,signal_flip
74,83,-1,1065.4459333739421,1066.790816218931,876.1426300678488,-2579.4168282284113,-0.027632189630313782,signal_flip
85,124,-1,1051.773262550449,950.6938580018284,863.0077092642557,85936.19695136152,0.94675875261119,signal_flip
125,134,1,957.9825052168001,885.370572440138,1844.553939002019,-136486.74975701462,-0.7723987356967361,stop_loss
135,139,-1,868.0025927226967,982.8331568512377,463.3429776528456,-53849.114319389686,-1.338921011470414,stop_loss
140,145,1,991.5085446980348,915.14648001576,-137.47560522827888,10301.332143563668,10301.332143563668,stop_loss
146,150,1,905.3686456464654,923.1707993433181,-36.774982208448264,-705.1072646415267,-705.1072646415267,signal_flip
151,158,-1,904.698003635056,911.8164321813655,-44.59608435084599,256.6969666435384,256.6969666435384,signal_flip
160,163,-1,873.4382886025868,885.8739027398667,-43.25322041487118,480.8084207810274,480.8084207810274,signal_flip
164,175,1,901.3056214478737,856.4322744164805,-36.58130363698405,1593.300275201017,1593.300275201017,signal_flip
176,181,-1,884.3536748356696,920.952389685827,-19.265970550821866,679.0240323953412,679.0240323953412,signal_flip
182,208,1,913.8713404284902,933.3330776274418,-11.213494808948509,-233.76930191826654,-233.76930191826654,signal_flip
209,219,-1,927.5805756371066,948.898750471344,-13.567969060240522,270.1493264926161,270.1493264926161,signal_flip
220,237,1,945.1323076825265,927.4596188175918,-10.457680057973672,170.12810047873873,170.12810047873873,signal_flip
